12,"Менеджер по закупу/продаже медицинских расходных материалов (общебольничный ассортимент)","<a itemprop=""hiringOrganization"" href=""/employer/742812"">ООО ЦРМ Сибири</a>","ООО ЦРМ Сибири","з/п не указана",Новосибирск,"1–3 года",,,NULL,,,"Новосибирск, Демакова, 30","Полная занятость, полный день",2015-01-14T07:55:22.618+03:00,1f7f824774dedf2efa8b6608627883c5
13,"Водитель СМП","<a itemprop=""hiringOrganization"" href=""/employer/4798"">ЗАО Сеть поликлиник «Семейный доктор»</a>","ЗАО Сеть поликлиник «Семейный доктор»","от 40 000 руб.",Москва,"более 6 лет",,,NULL,,,,"Полная занятость, полный день",2015-01-20T20:50:34.862+03:00,cc992155b6f5aa650edad7f06c835521
14,"Фельдшер СМП","<a itemprop=""hiringOrganization"" href=""/employer/4798"">ЗАО Сеть поликлиник «Семейный доктор»</a>","ЗАО Сеть поликлиник «Семейный доктор»","з/п не указана",Москва,"1–3 года",,,NULL,,,,"Полная занятость, полный день",2015-01-20T20:47:59.068+03:00,638ac4c8d738ac5aad84f130263809af
15,"Менеджер по работе с ключевыми клиентами (аптечные сети)","<a itemprop=""hiringOrganization"" href=""/employer/4336""> ИНВАР, национальная фармацевтическая компания</a>"," ИНВАР, национальная фармацевтическая компания","з/п не указана",Екатеринбург,"1–3 года",,"Высшее образование; Основ коммерческой работы с аптеками, основ маркетинга, мерчендайзинга и трейд-маркетинга, бюджетирования маркетинговых расходов на работу с аптечными сетями, навык маркетингового планирования; Опыт работы в аналогичной должности от 1 года в компаниях, реализующих фармацевтическую, парафармацевтическую или косметическую продукцию в аптеках; Ориентация на результат и эффективность, обучаемость и саморазвитие, проактивность, самостоятельность, умение работать с большими объемами информации в сжатые сроки, аналитические способности, самостоятельность, высокий уровень коммуникативных навыков, клиентоориентированность, навык работы в команде; Уверенный пользователь MS Office: Word, Excel, PP.",NULL,"Размер заработной платы обсуждается с успешным кандидатом индивидуально, в зависимости от профессионального опыта; Соц.пакет: компенсации мобильной связи, интернета, корпоративный автомобиль, ДМС после прохождения испытательного срока.",,,"Полная занятость, полный день",2015-01-19T11:29:56.197+03:00,cd2e6da74f6b9e5fc9d7aec085e0d2f3
16,Врач-дерматокосметолог,"<a itemprop=""hiringOrganization"" href=""/employer/1123907""> Салон красоты VERY</a>"," Салон красоты VERY","от 70 000 руб.",Москва,"3–6 лет",,,NULL,"Заработная плата от 70000 рублей (на первые 2-3 месяца можем обсудить оклад ) хорошая клиентская база и ежемесячный приток новых клиентов (развиваем салон,в интернет ресурсах ,хороший сарафан)",,"Москва, Красноармейская улица, 12","Полная занятость, сменный график",2015-01-20T20:34:37.052+03:00,d54b4cc31a2210c68df7e76d76e521ae
17,"Врач СМП","<a itemprop=""hiringOrganization"" href=""/employer/4798"">ЗАО Сеть поликлиник «Семейный доктор»</a>","ЗАО Сеть поликлиник «Семейный доктор»","з/п не указана",Москва,"1–3 года",,,NULL,,,,"Полная занятость, полный день",2015-01-20T20:33:53.800+03:00,829a29a333dfc18ecb8433099efbe906
18,"Аптечный медицинский представитель","<a itemprop=""hiringOrganization"" href=""/employer/4336""> ИНВАР, национальная фармацевтическая компания</a>"," ИНВАР, национальная фармацевтическая компания","з/п не указана",Краснодар,"1–3 года",,"Образование высшее (медицина/ фармацевтика) Опыт работы с аптеками в должности медицинский, аптечный представитель Навыки индивидуальной работы с заведующими аптек, провизорами; категоризации/сегментации аптек, навыки презентации. Нацеленность на результат, проактивность, ответственность, коммуникативные навыки, обучаемость и саморазвитие, работа в команде, клиентоориентированность. Навыки работы с оборудованием: владение компьютером (программы MS Office) и оргтехникой на уровне продвинутого пользователя, наличие водительского удостоверения категории В и опыта вождения не менее 1 года.",NULL,"Оформление согласно ТК РФ Белая заработная плата, ежеквартальные бонусы по результатам работы; Соц.пакет: компенсации мобильной связи, интернет, корпоративный автомобиль, ноутбук, ДМС после прохождения испытательного срока",,,"Полная занятость, полный день",2015-01-19T11:29:56.190+03:00,d2fd6d1ec175c1ddaf76d97d7684f637
19,"Региональный менеджер","<a itemprop=""hiringOrganization"" href=""/employer/1542198"">ООО САНБИОФАРМ</a>","ООО САНБИОФАРМ","з/п не указана","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #943E90""></span>Рязанский проспект</span>","3–6 лет",,"высшее образование (желательно медицинское /фармацевтическое/биологическое); опыт работы региональным менеджером от 3 лет; владение навыками продаж, ведения переговоров, презентаций; коммуникабельность, активная жизненная позиция, ориентированность на результат, умение убеждать, ответственность;",NULL,,,,"Полная занятость, полный день",2015-01-20T20:32:41.589+03:00,14ea977118bab1a6f34cb2fa6889ef66
20,"Медицинский представитель Rx","<a itemprop=""hiringOrganization"" href=""/employer/32619""> БЕЛУПО, лекарства и косметика д.д.</a>"," БЕЛУПО, лекарства и косметика д.д.","з/п не указана",Тверь,"1–3 года",,,NULL,,,,"Полная занятость, полный день",2015-01-19T11:29:53.068+03:00,7cc0e5f5b511e537f27e47fec2ca34bf
21,"Младший менеджер по стратегическому планированию","<a itemprop=""hiringOrganization"" href=""/employer/1992""> Бионика</a>"," Бионика","з/п не указана","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #F07E24""></span>Калужская</span>","1–3 года",,"Высшее образование: медицинское/фармацевтическое; Опытный пользователь ПК (Word, Excel, Power Point); Желательно умение работать с аналитическими программами (IMS, TNS); Структурность, системность, последовательность, логический склад ума, способность анализировать большие объемы информации, выделять ключевые факторы и делать выводы.",NULL,"График работы - с 10 до 19, обеденный перерыв - 1 час; Социальный пакет, ДМС, скидка на фитнес; Удобный и красивый офис; Обучение различным маркетинговым инструментам; Корпоративное обучение английскому языку; Возможности профессионального развития и роста; М. Калужская/м. Новые Черемушки (7 мин. пешком).",,"Москва, Профсоюзная улица, 57, м. Калужская","Полная занятость, полный день",2015-01-20T20:31:44.979+03:00,bfe148dd8a5e5c5c512ecf26ff4fb4c0
22,"Коммерческий директор","<a itemprop=""hiringOrganization"" href=""/employer/1519245"">ООО Inter-HR</a>","ООО Inter-HR","з/п не указана",Москва,"3–6 лет",,"Высшее образование. Обязателен опыт работы на аналогичной должности в этом направлении - от 5 лет. Знание рынка оборудования для салонов красоты, спа-центров, фитнес-клубов. Наличие фактических достижений, успехов в этой области деятельности. Отличные коммуникативные и презентационные навыки.",NULL,"Оформление по ТК РФ. Заработная плата обсуждается индивидуально с успешными кандидатами на собеседовании. Офис расположен в Москве, рядом с метро.",,,"Полная занятость, полный день",2015-01-19T11:28:50.345+03:00,8030d03c130cdeeba9e048efba741bfc
23,Врач-стоматолог-терапевт,"<a itemprop=""hiringOrganization"" href=""/employer/793195"">ООО Современная стоматология</a>","ООО Современная стоматология","от 50 000 руб.","Санкт-Петербург, <span class=""metro-station""><span class=""metro-point"" style=""background: #702785""></span>Чкаловская</span>","3–6 лет",,,NULL,,,"Санкт-Петербург, Чкаловский проспект, 16, м. Чкаловская","Полная занятость, гибкий график",2015-01-20T20:23:16.429+03:00,62d4c80f03e69fe495d22a3c2f1c6f9b
24,"Medical Promotion Manager","<a itemprop=""hiringOrganization"" href=""/employer/1542198"">ООО САНБИОФАРМ</a>","ООО САНБИОФАРМ","з/п не указана","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #943E90""></span>Рязанский проспект</span>","более 6 лет",,"Высшее медицинское или фармацевтическое образование (обязательно!). Хороший опыт работы в сфере маркетинга. Системное мышление. Опыт продвижения Rx-препаратов (обязательно!). Умение расставлять приоритеты, настойчивость в достижении поставленной цели. Способность работать в команде и соблюдать процессы, принятые в компании. Умение достигать консенсуса в разработке стратегий и концепций. Знание препаратов компании, рынка и конкурентов. Хорошее знание в сфере изучения рынка, умение распознавать тенденции рынка и извлекать из них пользу. Отличные презентационные и коммуникативные навыки Хороший уровень владения английским языком (устным и письменным).",NULL,,,"Москва, Рязанский проспект, 32к3, м. Рязанский проспект","Полная занятость, полный день",2015-01-20T20:21:13.550+03:00,2e908a1b9fbb9a4a90f51e48526b57ac
25,Фармацевт-провизор,"<a itemprop=""hiringOrganization"" href=""/employer/219286""> Фармаимпекс</a>"," Фармаимпекс","от 22 000 до 40 000 руб.",Лаишево,"не требуется",,"Среднее фармацевтическое образование/высшие/неполное высшее образование Коммуникабельный, доброжелательный, внимательный, добросовестный, аккуратный. Можно без опыта работы.",NULL,"Трудоустройство в соответствии с ТК РФ, Оплата труда 2 раза в месяц, Социальный пакет, Оплата обучения, При переезде в Лаишево, оплата найма жилья, оплата проезда, При заключении контракта на год и более, годовой бонус, Возможность карьерного роста, Дружный коллектив, корпоративные мероприятия, Достойный уровень заработной платы.",,"г. Казань, Сибирский тракт, д.34, корпус 2, подъезд 1, офис 438","Полная занятость, сменный график",2015-01-19T11:27:58.671+03:00,fa13da6a16194eb30cdf49c08de7f249
26,"Врач анестезиолог","<a itemprop=""hiringOrganization"" href=""/employer/98302""> Кадровое Агентство Уникальных Специалистов</a>"," Кадровое Агентство Уникальных Специалистов","от 50 000 руб.",Барнаул,"3–6 лет",,"высшее медицинское образование наличие действующего сертификата по специальности опыт работы от 5 лет по данной специальности ПК-пользователь предпочтение отдаётся кандидатам из коммерческой медицины",NULL,,"отличные условия работы заработная плата от 50 000 руб. на руки БЕЛАЯ полное соблюдение ТК РФ возможность повышения квалификации коллектив профессионалов, клиническая база в Москве отличные условия проживания: служебная квартира в элитном доме (1 - 3 комнаты в зависимости от количества членов семьи) через 5 лет успешной работы квартира переходит в собственность сотрудника бесплатное медицинское обслуживание в Центре, в том числе, для членов семьи территориальное расположение: г. Ковров (2,5 часа от Москвы) рассматриваются кандидаты, готовые переехать",,"Полная занятость, полный день",2015-01-19T11:26:21.682+03:00,2737afe3bfbcd6eb89ffdd89b2a855a6
27,"Рентгенолаборант КТ","<a itemprop=""hiringOrganization"" href=""/employer/12240""> БУДЬ ЗДОРОВ, Клиника</a>"," БУДЬ ЗДОРОВ, Клиника","от 26 000 руб.",Санкт-Петербург,"1–3 года",,,NULL,,,,"Полная занятость, сменный график",2015-01-20T20:18:09.549+03:00,da1195bb50729c99b52ffde4593e41c7
28,"Врач анестезиолог","<a itemprop=""hiringOrganization"" href=""/employer/98302""> Кадровое Агентство Уникальных Специалистов</a>"," Кадровое Агентство Уникальных Специалистов","от 50 000 руб.",Кемерово,"3–6 лет",,"высшее медицинское образование наличие действующего сертификата по специальности опыт работы от 5 лет по данной специальности ПК-пользователь предпочтение отдаётся кандидатам из коммерческой медицины",NULL,,"отличные условия работы заработная плата от 50 000 руб. на руки БЕЛАЯ полное соблюдение ТК РФ возможность повышения квалификации коллектив профессионалов, клиническая база в Москве отличные условия проживания: служебная квартира в элитном доме (1 - 3 комнаты в зависимости от количества членов семьи) через 5 лет успешной работы квартира переходит в собственность сотрудника бесплатное медицинское обслуживание в Центре, в том числе, для членов семьи территориальное расположение: г. Ковров (2,5 часа от Москвы) рассматриваются кандидаты, готовые переехать",,"Полная занятость, полный день",2015-01-19T11:26:21.682+03:00,a275eac21934686449ee38e966b4365b
29,Врач-невролог,"<a itemprop=""hiringOrganization"" href=""/employer/12240""> БУДЬ ЗДОРОВ, Клиника</a>"," БУДЬ ЗДОРОВ, Клиника","от 39 000 руб.",Санкт-Петербург,"1–3 года",,"Высшее профильное образование, наличие действующего сертификата. Опыт работы от 2 лет. Уверенный пользователь ПК. Личные качества: внимательное и приветливое отношение к пациентам, коммуникабельность. Опыт работы в системе ДМС будет Вашим преимуществом.",NULL,"Работа в крупном медицинском центре. Оформление по ТК, официальная заработная плата, соблюдение социальных гарантий, ДМС. Заработная плата 39000 + премии. Рассматривается совместительство.",,"Санкт-Петербург, Лиговский проспект, д. 274 А","Полная занятость, сменный график",2015-01-20T20:16:51.766+03:00,71335e23fc38347f3293f9ec30bea881
30,"Врач анестезиолог","<a itemprop=""hiringOrganization"" href=""/employer/98302""> Кадровое Агентство Уникальных Специалистов</a>"," Кадровое Агентство Уникальных Специалистов","от 50 000 руб.",Новокузнецк,"3–6 лет",,"высшее медицинское образование наличие действующего сертификата по специальности опыт работы от 5 лет по данной специальности ПК-пользователь предпочтение отдаётся кандидатам из коммерческой медицины",NULL,,"отличные условия работы заработная плата от 50 000 руб. на руки БЕЛАЯ полное соблюдение ТК РФ возможность повышения квалификации коллектив профессионалов, клиническая база в Москве отличные условия проживания: служебная квартира в элитном доме (1 - 3 комнаты в зависимости от количества членов семьи) через 5 лет успешной работы квартира переходит в собственность сотрудника бесплатное медицинское обслуживание в Центре, в том числе, для членов семьи территориальное расположение: г. Ковров (2,5 часа от Москвы) рассматриваются кандидаты, готовые переехать",,"Полная занятость, полный день",2015-01-19T11:26:21.682+03:00,95e881291ca70c79026b67d8f4cc4b2a
31,"Медицинская сестра педиатрическая","<a itemprop=""hiringOrganization"" href=""/employer/12240""> БУДЬ ЗДОРОВ, Клиника</a>"," БУДЬ ЗДОРОВ, Клиника","от 24 000 руб.",Санкт-Петербург,"1–3 года",,"Профильное образование, наличие действующего сертификата &quot;Сестринское дело в педиатрии&quot;, &quot;Сестринское дело&quot;, &quot;Инфузионное дело&quot;. Опыт работы в педиатрии от 0,5 года. Компьютерная грамотность. Личные качества: вежливость, коммуникабельность, ответственность.",NULL,"Работа в педиатрическом отделении крупного медицинского центра. Оформление по ТК, официальная заработная плата 24000 руб. Соблюдение всех социальных гарантий, ДМС. Сменный график работы. Рассматривается совместительство.",,"Санкт-Петербург, Лиговский проспект, д. 274 А","Полная занятость, сменный график",2015-01-20T20:16:51.720+03:00,11c0132074cb843cdb3d07f24199aefd
32,"Врач анестезиолог","<a itemprop=""hiringOrganization"" href=""/employer/98302""> Кадровое Агентство Уникальных Специалистов</a>"," Кадровое Агентство Уникальных Специалистов","от 50 000 руб.",Новосибирск,"3–6 лет",,"высшее медицинское образование наличие действующего сертификата по специальности опыт работы от 5 лет по данной специальности ПК-пользователь предпочтение отдаётся кандидатам из коммерческой медицины",NULL,,"отличные условия работы заработная плата от 50 000 руб. на руки БЕЛАЯ полное соблюдение ТК РФ возможность повышения квалификации коллектив профессионалов, клиническая база в Москве отличные условия проживания: служебная квартира в элитном доме (1 - 3 комнаты в зависимости от количества членов семьи) через 5 лет успешной работы квартира переходит в собственность сотрудника бесплатное медицинское обслуживание в Центре, в том числе, для членов семьи территориальное расположение: г. Ковров (2,5 часа от Москвы) рассматриваются кандидаты, готовые переехать",,"Полная занятость, полный день",2015-01-19T11:26:21.682+03:00,b0b7c500737dcd5b92abbe1b6422a33b
33,Врач-терапевт,"<a itemprop=""hiringOrganization"" href=""/employer/12240""> БУДЬ ЗДОРОВ, Клиника</a>"," БУДЬ ЗДОРОВ, Клиника","до 50 000 руб.",Санкт-Петербург,"1–3 года",,,NULL,,,"Санкт-Петербург, Лиговский проспект, д. 274 А","Полная занятость, сменный график",2015-01-20T20:16:51.694+03:00,874f59b08f4a6e73e608f33a5a65026a
34,"Врач анестезиолог","<a itemprop=""hiringOrganization"" href=""/employer/98302""> Кадровое Агентство Уникальных Специалистов</a>"," Кадровое Агентство Уникальных Специалистов","от 50 000 руб.",Омск,"3–6 лет",,"высшее медицинское образование наличие действующего сертификата по специальности опыт работы от 5 лет по данной специальности ПК-пользователь предпочтение отдаётся кандидатам из коммерческой медицины",NULL,,"отличные условия работы заработная плата от 50 000 руб. на руки БЕЛАЯ полное соблюдение ТК РФ возможность повышения квалификации коллектив профессионалов, клиническая база в Москве отличные условия проживания: служебная квартира в элитном доме (1 - 3 комнаты в зависимости от количества членов семьи) через 5 лет успешной работы квартира переходит в собственность сотрудника бесплатное медицинское обслуживание в Центре, в том числе, для членов семьи территориальное расположение: г. Ковров (2,5 часа от Москвы) рассматриваются кандидаты, готовые переехать",,"Полная занятость, полный день",2015-01-19T11:26:21.682+03:00,f7fba4c850896565d9573ecdf2696d2d
35,"Врач ультразвуковой диагностики ЭХО КГ и допплерографии","<a itemprop=""hiringOrganization"" href=""/employer/12240""> БУДЬ ЗДОРОВ, Клиника</a>"," БУДЬ ЗДОРОВ, Клиника","от 80 000 до 100 000 руб.",Санкт-Петербург,"1–3 года",,"Высшее профильное медицинское образование Опыт работы от 2 лет Обязательное наличие действующего сертификата Владение дополнительными навыками ЭХО КГ, допплерографии, сосуды сердца. Уверенный пользователь ПК Личные качества: аккуратность, приветливость, коммуникабельность Наличие опыта работы в ДМС будет Вашим преимуществом",NULL,"Работа в крупном медицинском центре. Официальная заработная плата от 80000 руб. ( с премиями до 100000 руб.), соблюдение всех соц. гарантий, ДМС Достойный уровень зарплаты. Рассматривается совместительство.",,"Санкт-Петербург, Лиговский проспект, д. 274 А","Полная занятость, сменный график",2015-01-20T20:16:51.647+03:00,4f840b4bc99044502e193f972efefaec
36,"Медицинский представитель Rx ( г. Иваново )","<a itemprop=""hiringOrganization"" href=""/employer/32619""> БЕЛУПО, лекарства и косметика д.д.</a>"," БЕЛУПО, лекарства и косметика д.д.","з/п не указана","Иваново (Ивановская область)","1–3 года",,"Любое высшее образование Желательно наличие опыта работы медицинским представителем от 1 года Приветствуется опыт работы в продажах мед./фарм бизнесе Уверенное владение программами MS Office Права категории В, опыт вождения Коммуникабельность, активная жизненная позиция, Ориентированность на результат, организованность, исполнительность Способность работать как самостоятельно так и в команде",NULL,"Заработная плата + бонусы, премии Внутренние тренинги Страховка ДМС (после испытательного срока) Развитие карьерного роста в дружном стабильном коллективе Предоставляется служебный автомобиль, оплата расходов на автомобиль Оплата мобильного телефона По результатам года - годовая премия",,,"Стажировка, полный день",2015-01-20T20:02:38.094+03:00,c1684869f3e9665701c44d9ff495234e
37,"Врач анестезиолог","<a itemprop=""hiringOrganization"" href=""/employer/98302""> Кадровое Агентство Уникальных Специалистов</a>"," Кадровое Агентство Уникальных Специалистов","от 50 000 руб.",Горно-Алтайск,"3–6 лет",,"высшее медицинское образование наличие действующего сертификата по специальности опыт работы от 5 лет по данной специальности ПК-пользователь предпочтение отдаётся кандидатам из коммерческой медицины",NULL,,"отличные условия работы заработная плата от 50 000 руб. на руки БЕЛАЯ полное соблюдение ТК РФ возможность повышения квалификации коллектив профессионалов, клиническая база в Москве отличные условия проживания: служебная квартира в элитном доме (1 - 3 комнаты в зависимости от количества членов семьи) через 5 лет успешной работы квартира переходит в собственность сотрудника бесплатное медицинское обслуживание в Центре, в том числе, для членов семьи территориальное расположение: г. Ковров (2,5 часа от Москвы) рассматриваются кандидаты, готовые переехать",,"Полная занятость, полный день",2015-01-19T11:26:21.682+03:00,e0e169dc85dd009acca91cc802f74961
